text,target
I have a bad leak at home now and don't know what do to. Thanks Publix produce.,Publix
When you don't want to pay the $30 for Publix to deliver your wedding cake...,Publix
Any other produce closers *love* walking into an unfinished cut list?,Publix
(Grocery) Box Cutters,Publix
Employment,Publix
My wtf moment for tonight I was doing floor and literally made this look nice and I come back 15 min later and fond this.. like really 😡,Publix
Does anyone know how much Assistant Produce Managers start at?,Publix
I don’t want to start a fight...,Publix
Salary to Hourly,Publix
Still learning/practicing hand stacking. Advice or tips?,Publix
"So, this one day off steady thing--",Publix
Looking for more hours,Publix
Did they remove cooking aprons?,Publix
rate my hand stacking lol,Publix
"""Would you like to donate and help out Children's Miracle Network?""",Publix
New Boars Head product mystery!,Publix
Is it normal not to be taught jack shit as a bakery clerk?,Publix
"The Red Team leader for CMN decided to do a raffle, so I made this meme.",Publix
The publix philosophy,Publix
"PM clean, not deep or wax, regular nightly PM. This is our MO. I’m curious to know how it’s done elsewhere. The reason being I’ve done PM in two stores, both different.",Publix
List of pet peeves you have working at Publix,Publix
What detemines the base pay of each department?,Publix
What was your store's legend?,Publix
Profit plan?,Publix
Orientation,Publix
About to switch to Publix. Advice please,Publix
Customers who want their water jugs bagged.,Publix
Coworker saluting endcap (circa 2019),Publix
HV or LV,Publix
Orientation,Publix
“Would you like to donate to the children’s hospital today?”,Publix
Had to since they are on sale,Publix
AVS doesn’t listen all the time...,Publix
Making the Schedules,Publix
Everyone in the deli right now,Publix
Can you still...,Publix
Just got into it with my manager and I don’t know how to feel. I need advice,Publix
no experience,Publix
Not going over 40 hrs,Publix
Second interview.....,Publix
I have a job interview on Friday for produce?,Publix
Clopening,Publix
Why,Publix
Produce and deli scheduling??,Publix
MFW I send my sister in to get Pub Subs while they are on sale and she comes out with two separate six inchers,Publix
Not paying attention to your kids can literally cost you money.,Publix
Enjoy this awful meme I spent far too much time on,Publix
Touch/Face ID for Pro,Publix
Publix of yesteryear,Publix
Need advice,Publix
Hurry!,Publix
Anybody else's camera roll look like this? 3 door cooler life 🤠,Publix
I was given the privilege of making this today,Publix
Tattoos?,Publix
Karen neglecting saftey policies. Am i using it right?,Publix
Phone help!!!,Publix
Is there any way to report an incompetent ASM?,Publix
"Update: Hello, I had a lot better day cashiering all by myself. I made mistakes, but I think it’s part of the process. Let’s say in theory my till is short cause I’m still learning, do you think I’ll have another shift of cashier or am I a done deal. (A bagger btw) Thank you.",Publix
I start cross training to produce next week!,Publix
Department change,Publix
New ADM Promote,Publix
Karen's Mom,Publix
Could I be disciplined for questioning a District Mgr's policy if it isn't in the R&amp;P guide?,Publix
RIP job,Publix
BOGO Blue Bunny ice cream bars,Publix
Fire sale at Walmart the other day.,Publix
My favorite part about coming in at 3. Go backs,Publix
"Anyone registered to help out at other stores before? If so, how was it?",Publix
Karen neglecting saftey policies. Am i using it right?,Publix
When Karen comes in your line,Publix
The new rotisserie bags look like a coloring book,Publix
Please tell me im not the only one,Publix
When charts roll in @10 PM (10AM - 2PM window btw),Publix
Can I redeem my free half sub at any store?,Publix
First day cashier training,Publix
So I was told I’m starting in boxed meat as a selector. Anyone work there? How’s it like compared to other picking areas?,Publix
How to make a bagging shift more enjoyable?,Publix
Anybody have rude customers that want balloons blown up but want a discount or no charge?,Publix
‘Merica @ 1277,Publix
Does non-management associates have to wear a tie if they choose to dress up?,Publix
Those on express should wear hats similar to this.,Publix
Need help picking job,Publix
I need help,Publix
Y’all seen this?,Publix
Something here doesn’t belong...,Publix
"Are there any entry-level jobs for those without degrees, jobs or experience that aren't bagging or cashier?",Publix
#1647,Publix
How often do you get a weekend day off?,Publix
Re: Just some basic math,Publix
"Grocery associates, what’s it like having a dairy cooler that DOESN’T look like this",Publix
Just some basic math...,Publix
And another one,Publix
the popcorn chicken gods have blessed me today (normal next to it for a shitty scale),Publix
Is Deli that bad?,Publix
No digital coupons?,Publix
It's that time of the year...,Publix
Sub sale,Publix
Are men allowed to wear earrings now?,Publix
How I dynamically sell fresh herb plants.,Publix
...,Publix
Saved holidays and vacation,Publix
Potential full-time but considering a transfer,Publix
After balancing the cash office what do I do?,Publix
Greenwise people,Publix
Sub Sale Deli Clopen,Publix
I love this meme format,Publix
Fellow Produce peeps to the front!,Publix
"Attention Publix associates, if you would like to make a final purchase please do so at this time.",Publix
Customer compliments have to go through *corporate* for an associate to receive a free 1/2 sub card? Since when?,Publix
To every Associate doing Floor Care right now!,Publix
"Who all has a 2nd job as a FT grocery clerk or GRS? If so, what job do you do outside of work?",Publix
Will number balloons help customers locate registers better?,Publix
Manager agreed to train me on register! How should I proceed?,Publix
Scratch pad,Publix
Steak subs,Publix
Publix loans,Publix
"This sub is full of nice looking end caps, and punk bitches complaining about their job",Publix
When your pharmacy associates don't know the difference between the baler and trash compactor,Publix
CMN display ideas,Publix
🤦‍♀️🤦‍♀️🤦‍♀️,Publix
Gets you swole,Publix
Sub sale is slowly killing me,Publix
A blessing and a curse,Publix
Kylie Skin is shook,Publix
"If Publix opened up a theme park, what would the rides be about?",Publix
Question for CSTLs,Publix
We get some classy individuals at our store.,Publix
Question about catering?,Publix
Cs staff pushing a car after it stalled in our flooded parking lot after yesterday's storms,Publix
CPDP Celebration at 1621 in Chattanooga,Publix
Publix Sub Stealing?,Publix
A beautiful rainbow right outside the store !,Publix
Cut room help,Publix
When you have the keys for the supply drawer,Publix
How to quit,Publix
Pre orientation,Publix
Perfect fit ;^),Publix
Customer survey,Publix
"I'm on the fryer tonight and so far in 5 hrs, 220lbs of chicken tenders have been fried. Thank god for this music to help get me threw it. A little death in the ear never hurt anyone.",Publix
After post orientation,Publix
Who doesn't love a free shower while unloading frozen.,Publix
Help me,Publix
Love this,Publix
🤣😂🙃YeahhhhhhhI dont know how it got in there but I either leave it for the morning crew to figure out or a cause a really big mess inside the autosham.,Publix
Thank you to all at the sub counter this week!,Publix
Limited Edition Items,Publix
Another self proclaimed Thomas Edison. I shared this Publix article on Facebook and got this comment.,Publix
Any idea about the new pay rates for next year?,Publix
Need help,Publix
Another Sub sale,Publix
Wearing meat coats on the floor,Publix
Best deals on work shirts?,Publix
Is it allowed to have multiple lunch breaks scattered throughout your workday?,Publix
Pre-orientation,Publix
Deli Ft,Publix
THICCen Tender Sub,Publix
Couldn't help it.,Publix
Re: borrowed associates,Publix
it’s time.,Publix
Quick question for people in cut bar.,Publix
What's next?,Publix
I feel like every single person buys like 4 packs of La Croix,Publix
Making fruit trays in the----deli??,Publix
cashier: hi how are y- customer: i have a 24 pack of zephyrhills,Publix
If you can see the sign then you’re doing just fine,Publix
I'll never look at these the same,Publix
Wasting Seafood Labor,Publix
Just joined the Deli team over a month ago.... go in on Friday 0900- 1830. Wraps and tender subs here I come 😅,Publix
It makes my blood boil!,Publix
Can we all agree that the Kiss melons are grown by Terminators?,Publix
5.99 Sub sale question,Publix
... here we go again,Publix
How do ya'll feel about Instacart?,Publix
Question for my Bakery peeps regarding the sub sale!,Publix
New Publix App - Getting better but still has fundamental flaws,Publix
Taste the rainbow,Publix
Pay Rate for Publix,Publix
When you over hear the Grocery manager talking to the dairy guy...,Publix
Promoted to GRS and on to HV!,Publix
Question for other Cake decorators,Publix
"Corporate when doing the ""Suprisingly low price"" sales",Publix
Cash Office Numbers,Publix
Mandatory benefits meeting,Publix
Walking in the back room and boom,Publix
The Dairy Struggle,Publix
Couldn't help it.,Publix
Our Produce (minus the cold and wet case),Publix
"Does travel reimbursement only account for travel to and from stores, or can you use it for the additional miles for getting back home as well?",Publix
One of these things is not like the others,Publix
Inefficient to say the least.,Publix
Show me your greens walls!,Publix
"Moving to a brand new store that’s opening soon! (#1647 Bradley Yards, Atlanta, GA)",Publix
Never ever had this happen before,Publix
Too late for Avenger memes?,Publix
Together 🇨🇳,Publix
Your life in their corporate machine,Publix
Both my managers told me that my cashier training starts next week. Any idea what day it would be according to the schedule?,Publix
When you try to explain to the customer how you hit Traveler Check instead of EFT so they gotta insert their card again,Publix
Random question for Produce,Publix
The General and the Major. Over 50 years experience.,Publix
Cross training from CS to Deli....,Publix
Availability question,Publix
"Was the Publix chicken tender sub invented by three hungry Florida men? “We can on our end say no,” said Brian West, Publix’s spokesman",Publix
Promotion donuts from Universal Studios. Now a full time GRS and soon to be GTL in the next 6 months.,Publix
no words,Publix
Took some of y'alls advice on hand stacking,Publix
Slight Oasis Complaint,Publix
Engraved Name Tag?,Publix
"Update. I contacted the company via email, and they responded that the date was 12/24/2019. How they got that date? I have no earthly idea. They did however tell me that they would be going to a regular pack date format (mm/dd/year).",Publix
For those who’s FT in produce (or any other department) how’d you achieve it?,Publix
New store opening in Trinity FL (#1611) in a couple months,Publix
Just got hired to work in a deli!,Publix
Why Can't We Cash Out Sick Time?,Publix
Mid day blocking,Publix
Since y’all have been flammin us about “our blocking” ... none of us work in the grocery department.,Publix
Friendly reminder to always keep 2 Towels IN your Pocket to clean up small spills and debris,Publix
A master and an apprentice,Publix
Out of stock for all stores (cont.),Publix
Is it wrong to like this job?,Publix
Seafood innovatory,Publix
Post-Orientation,Publix
Fixed the vacuum?,Publix
Uneducated Stock/IRA question,Publix
If one more person picks grapes off my display as they walk by like it's a buffet table...,Publix
Any warehouse workers here?,Publix
deli nightmare,Publix
How to get Boars head sub for Publix Price,Publix
Dollar Bill,Publix
And still the disappointment continues...,Publix
Quick question,Publix
What exactly is CBT?,Publix
Frozen gloves,Publix
Part time btw! 😁,Publix
Need a refresher how does managment sick pay work?,Publix
Just made a new subreddit for all grocery workers - /r/shelflife,Publix
Can associates view thier up to date tardy count record anywhere in Oasis or the Publix associate site?,Publix
Me and the boys closing on a weeknight,Publix
Evaluation scores!,Publix
Oh the things you find closing at nights lmao,Publix
When you are out of something and they try to ask what your name is because of it,Publix
0w0 What’s this,Publix
Any tips on manager test from gtl to assistant grocery manager?,Publix
Just moved to frozen,Publix
CuRsEd_BuTteR,Publix
When management doesn’t care to replace equipment,Publix
Returns with no receipts (CSS),Publix
When your scales offline for more than a minute.,Publix
The online delivery wars are heating up inside shoppers' homes. Walmart is now offering to have one of its employees deliver fresh groceries and put them in your refrigerator when you're not home....The next big idea. Feed them?,Publix
Store takes long time to train/half rant,Publix
Is it even possible to ask for a raise?,Publix
Hiring process,Publix
I have a rule that during any training video if there’s a ridiculous answer I will automatically choose it just in case someone ever sees the results of these tests. I promise right after I took this picture I switched answers 😂😂😂,Publix
"Anybody know how to read this ""best by"" date?",Publix
Never enough help,Publix
To people who work in frozen food,Publix
Uhhh I got the ADHD,Publix
"Has anyone gotten cut or bulky from selecting in the warehouse? Or is the change minor? I know it’s constant lifting, but is it enough to get you a nice body?",Publix
Indeed,Publix
Communists,Publix
Whenever a customer asks if there is apple pay and all the associates near by answers. (This was inspired by the green button meme lmao.,Publix
Thoughts On Your Jobs,Publix
How bad is closing as a FSC?,Publix
Happy National Donut Day! Here’s how I ended up setting up my demo for our donut samples? Who’s store is also participating today? I’ve sold nearly all the donuts we produced today and its only 9am!,Publix
Weird situation,Publix
Transferring,Publix
I have orientation tomorrow. I have a few questions.,Publix
What counts as calling in sick?,Publix
Make this into a meme. Thank you.,Publix
Accurate,Publix
Nothing needs to be said,Publix
hehe,Publix
All nearby associates when the customer asks how to run their card as credit.,Publix
I have a interview Monday!,Publix
The story of the birth of the Publix Chicken Tender Sub,Publix
Ad change nights in grocery be like,Publix
Key lime pie now comes with a fake lime?,Publix
Why does Dollar Bill look like a Cold War cartoon character?,Publix
We 💚 PublixPro,Publix
Brace yourselves,Publix
When your caught trying to clock out just when HV truck pulls in,Publix
That publix over nights 10pmto 9am weeee,Publix
Productivity,Publix
Shoe policy,Publix
Any of you guys started off at age 14?,Publix
This is what the deli department will see when the sub sale arrives,Publix
"I'm sure it's a mistake, I'm a bagger.",Publix
Early 3 day shift to help move stuff because they're waxing floor?,Publix
Got to shake hands with Todd today. He seems like a really great guy and I'm proud to be working for such an awesome company.,Publix
Gotta love some good hand-stacking!,Publix
Improving in front office?,Publix
Me: Did you find everything you needed today? Them: I didn’t find the winning lottery numbers,Publix
Let me tell you about the time I met Todd Jones...,Publix
I thought I was only part time T__T,Publix
It's a trap,Publix
That new FSC kid is a master cart wrangler,Publix
How to build a frozen endcap to Publix standards,Publix
"Another Week, Another Frozen Food Endcap",Publix
Praise be to breakfast.,Publix
Give me everything I need to know about Publix,Publix
BOD’s telling corporate to silence any dissent in retail,Publix
How long did it take for you to be contacted after applying?,Publix
Question about pay period,Publix
The life of a Teamleader,Publix
People really do back out like the cars in Coconut Mall in Mario Kart,Publix
PEFCU,Publix
Boar’s Head pepperoni from the counter supposed to be unrefrigerated??,Publix
Biggest pet peeves,Publix
Thought this would fit well here,Publix
“Luck” in Lotto,Publix
"I think I hit max productivity yesterday . A clean cooler is a happy cooler, check your mascs and counts daily so you have less backstock.",Publix
Pulling backstock AND leveling has a special spot reserved in hell,Publix
Need I say more?,Publix
Tuition reimbursement,Publix
Can I kill now?,Publix
Does anyone else agree this is bad?,Publix
When do yall close your olive bar?,Publix
"Questions about sick time. I've been full time since December of last year, and this thing still shows me as having none accrued. How does this work?",Publix
Bloodshot Eyes,Publix
How do you use Publix Pay?,Publix
Corporate Publix,Publix
Oh my.,Publix
Publix is just getting worse,Publix
Got my riot shield on for this one,Publix
